"Age","Income","HomeVal","TractID","Tenure","DirectDeposit","Loan","NumAccounts","Dist","MktShare","Churn"
62,4.8,27.5,1,2.529774127,0,0,2,1.302307692,0.029138509,1
47,15,47.5,1,2.809034908,0,0,2,1.302307692,0.029138509,0
42,3.8,18.7,1,2.74880219,0,0,2,1.302307692,0.029138509,0
47,7.5,55,1,8.010951403,0,1,3,1.302307692,0.029138509,0
67,15,95,1,11.00342231,0,1,3,3.516,0.029138509,1
57,15,37.5,1,2.759753593,0,0,1,6.6025,0.029138509,1
52,9.5,37.5,1,11.20876112,1,0,2,1.302307692,0.029138509,0
70,4.8,11.3,1,15.93429158,0,0,1,1.302307692,0.029138509,0
77,15,95,2,11.51813826,0,1,4,4.561111111,0.01089193,0
32,15,55,4,2.099931554,1,1,5,1.282424242,0.029138509,1
77,15,65,4,2.737850787,1,0,1,1.282424242,0.029138509,0
77,8.5,32.5,4,2.151950719,1,0,2,1.282424242,0.029138509,0
72,3.8,27.5,4,3.507186858,0,0,2,1.282424242,0.029138509,0
67,15,55,4,2.548939083,0,0,2,1.282424242,0.029138509,0
72,15,47.5,4,2.762491444,0,0,1,1.282424242,0.029138509,0
52,13.5,42.5,4,2.26146475,0,0,2,1.282424242,0.029138509,0
27,6.5,13.7,4,2.800821355,1,0,1,2.5328125,0.122971377,0
42,15,55,4,1.270362765,0,0,1,1.282424242,0.029138509,1
37,15,75,4,21.54140999,0,1,4,1.920789474,0.1480123,1
47,7.5,16.3,4,12.92813142,0,0,2,2.5328125,0.122971377,0
62,3.3,11.3,4,1.875427789,0,0,1,2.5328125,0.122971377,1
32,8.5,55,4,1.11156742,1,0,1,1.920789474,0.1480123,0
57,8.5,22.5,4,32.24914442,0,0,2,2.5328125,0.122971377,1
42,9.5,16.3,4,17.48665298,1,0,3,2.5328125,0.122971377,1
77,0.5,13.7,4,27.67419576,1,0,3,2.5328125,0.122971377,0
52,9.5,16.3,4,11.40588638,1,0,1,2.5328125,0.122971377,0
32,7.5,13.7,4,10.61738535,1,0,1,2.5328125,0.122971377,0
67,0.5,8.7,4,16.47091034,0,0,2,2.5328125,0.122971377,0
57,9.5,22.5,4,11.25256674,1,0,3,2.5328125,0.122971377,1
77,4.3,22.5,4,21.96851472,0,0,2,2.5328125,0.122971377,0
57,4.8,16.3,4,9.848049281,0,0,2,2.5328125,0.122971377,1
62,7.5,16.3,4,26.54893908,0,0,5,2.5328125,0.122971377,0
47,15,55,4,12.95824778,0,1,5,1.920789474,0.1480123,0
52,10.5,22.5,4,7.134839151,1,1,4,2.5328125,0.122971377,0
47,9.5,37.5,4,9.719370294,0,0,2,1.282424242,0.029138509,1
52,15,75,4,17.99863108,0,1,4,1.920789474,0.1480123,0
67,11.5,47.5,4,18.48596852,1,0,2,1.920789474,0.1480123,0
62,11.5,55,4,19.15126626,1,0,3,1.920789474,0.1480123,0
37,15,65,4,2.74606434,0,1,3,1.282424242,0.029138509,1
57,5.3,16.3,4,5.659137577,1,1,5,2.5328125,0.122971377,0
77,15,55,4,6.425735797,0,0,3,1.920789474,0.1480123,0
52,15,55,4,15.45790554,1,1,3,1.920789474,0.1480123,0
77,15,47.5,4,26.54072553,1,0,2,1.920789474,0.1480123,0
47,15,65,4,15.88774812,0,0,3,1.920789474,0.1480123,0
52,6.5,55,4,30.28336756,1,1,5,1.920789474,0.1480123,0
77,15,65,4,18.17932923,1,0,1,1.920789474,0.1480123,1
67,15,37.5,4,21.81519507,1,0,2,1.920789474,0.1480123,0
77,15,37.5,4,21.50855578,1,0,1,1.920789474,0.1480123,0
77,15,42.5,4,14.11635866,1,1,3,1.920789474,0.1480123,0
52,12.5,42.5,4,14.17385353,0,0,2,1.920789474,0.1480123,0
77,12.5,37.5,4,20.64613279,1,1,2,1.920789474,0.1480123,0
72,2.8,37.5,4,26.51060917,1,1,3,1.920789474,0.1480123,0
67,15,55,4,18.83915127,1,0,2,1.920789474,0.1480123,0
52,15,42.5,4,1.407255305,0,0,1,1.920789474,0.1480123,0
52,15,65,4,24.62422998,1,0,3,1.920789474,0.1480123,0
67,15,65,4,12.25462012,1,1,3,1.920789474,0.1480123,1
67,15,37.5,4,18.59000685,1,1,3,1.920789474,0.1480123,0
47,15,55,4,22.79534565,1,1,5,1.920789474,0.1480123,0
62,15,55,4,29.25667351,1,0,1,1.920789474,0.1480123,0
67,15,47.5,4,14.28610541,1,0,3,1.920789474,0.1480123,0
47,5.3,18.7,4,11.15400411,1,0,1,2.5328125,0.122971377,1
62,15,37.5,4,12.77481177,0,0,1,1.920789474,0.1480123,0
47,9.5,42.5,4,2.828199863,1,1,7,1.282424242,0.029138509,1
42,9.5,27.5,6,5.771389459,1,0,5,1.545344828,0.07813204,0
21,11.5,22.5,6,6.236824093,1,0,2,1.545344828,0.07813204,0
37,5.8,18.7,6,4.542094456,1,0,1,1.545344828,0.07813204,0
62,4.8,27.5,6,12.81314168,1,0,2,1.545344828,0.07813204,0
77,13.5,27.5,6,2.058863792,1,0,2,1.545344828,0.07813204,0
37,5.8,27.5,6,2.321697468,1,0,3,1.545344828,0.07813204,0
